RANK,SUM,Pop_SD,VAR
12585,6215.2,3578.31,28017.299
8390,6154.419,3574.654,27960.174
2097,4813.581,3491.937,26680.574
29364,6032.4,3249.727,23105.92
67118,6032.4,3388.198,25116.72
52436,6489.4,3375.402,24933.92
79703,6184.581,3183.005,22171.812
20975,5453.381,3356.208,24645.553
14682,6611.419,3378.144,24974.593
348177,7312,3152.843,21753.2
123750,6763.6,3496.964,26761.92
10487,5758.2,3597.504,28321.661
6292,5514.619,3203.113,22451.953
251694,6520.019,2858.535,17881.953
2097,5484,3594.762,28273.219
2097,5240.419,3402.822,25340.193
155211,6580.8,2922.972,18694.499
12585,5331.819,3043.62,20270.692
8390,6672.2,3535.352,27346.88
18877,5514.619,3092.519,20928.772
10487,5606.019,3335.186,24340.734
2097,5270.581,3503.819,26863.374
10487,5423.219,3200.371,22415.393
10487,5027,2832.029,17548.8
272669,6611.419,3213.624,22598.193
2097,5301.2,3681.592,29662.499
8390,5971.619,3553.632,27631.134
144724,6063.019,3065.556,20563.172
123750,5727.581,2771.705,16809.374
2097,5087.781,3021.684,19978.212
23072,5301.2,3080.637,20766.08
16780,6063.019,3525.755,27204.753
186673,6428.619,2930.741,18795.953
20975,5788.819,3398.252,25267.073
23072,5423.219,3089.777,20892.212
6292,6001.781,3621.268,28691.374
2097,6093.181,3589.278,28191.873
6292,5575.4,3257.953,23227.939
8390,5361.981,3413.79,25498.772
8390,5087.781,3116.74,21257.812
83898,6337.219,2908.805,18515.812
174088,6611.419,3369.918,24852.574
467731,7372.781,2573.824,14494.212
31462,5788.819,3542.664,27460.673
6292,5423.219,3523.47,27168.193
247499,6337.219,3081.094,20770.193
316715,6489.4,2798.211,17134.301
4195,5941,3598.418,28334
444659,6580.8,2642.831,15282.08
119555,6032.4,2818.319,17378.339
295740,6702.819,2840.255,17650.254
213940,6123.8,2756.167,16622.461
2097,4722.181,3151.472,21733.092
27267,6032.4,3424.758,25665.12
222330,6641.581,3030.824,20099.774
2097,4295.8,2791.356,17049.299
2097,5270.581,3307.766,23938.574
379638,7189.981,2858.535,17881.953
6292,5606.019,3462.232,26229.972
69216,6398,2890.525,18280
23072,6184.581,3265.265,23329.393
16780,5727.581,3315.992,24060.593
270571,6032.4,3109.428,21155.901
77606,6489.4,3262.523,23288.72
138432,6337.219,2889.611,18271.774
2097,5697.419,3636.349,28935.412
41949,6001.781,2946.736,19002.974
48241,5758.2,3161.069,21862.88
56631,5758.2,3226.42,22776.88
2097,5636.181,3554.089,27643.473
88093,5697.419,3089.777,20892.212
146822,6398,3013.001,19864.419
4195,5606.019,3124.052,21355.153
18877,6367.381,3272.12,23426.734
12585,6428.619,3522.099,27143.972
29364,5636.181,3138.219,21550.292
8390,4752.8,2786.329,16988.061
2097,5697.419,3562.772,27777.374
48241,5575.4,3077.895,20729.52
73411,5818.981,2991.979,19587.934
14682,6489.4,3384.085,25055.939
41949,6458.781,3345.24,24486.974
6292,4935.6,3073.325,20668.739
10487,5544.781,3357.579,24669.774
39852,5971.619,3038.136,20197.572
100678,6093.181,3061.9,20514.273
23072,6154.419,3531.696,27290.212
119555,6337.219,2899.208,18393.793
6292,5453.381,3356.208,24645.553
8390,5453.381,3177.064,22086.353
113262,6306.6,2788.157,17012.739
20975,6215.2,3320.105,24117.261
6292,5544.781,3617.155,28630.593
10487,5849.6,3610.757,28529.139
10487,5758.2,3515.244,27042.061
62924,6580.8,3213.167,22594.08
14682,5849.6,3214.995,22618.301
16780,5209.8,2766.221,16744.48
8390,5727.581,3261.152,23268.612
398516,6794.219,3156.956,21806.212
4195,5544.781,3443.495,25949.374
4195,5209.8,3183.005,22167.699
18877,6001.781,3125.88,21379.374
2097,5270.581,3273.491,23451.412
67118,6032.4,3241.044,22983.901
20975,5606.019,3397.338,25254.734
16780,6093.181,3422.473,25632.673
117457,5544.781,2801.41,17174.974
2097,5606.019,3672.909,29520.372
44046,6458.781,3129.993,21440.612
2097,5331.819,3390.026,25145.054
2097,5057.619,3229.162,22817.553
27267,5575.4,3202.199,22435.501
33559,5544.781,3085.207,20830.974
58729,5941,3341.584,24434.419
31462,6275.981,3608.015,28484.353
2097,5361.981,3692.103,29824.734
12585,6580.8,3439.382,25884.48
60826,5941,3013.001,19864.419
100678,6428.619,3376.773,24950.372
23072,5392.6,3118.111,21277.92
41949,6580.8,3221.85,22716.099
157309,6580.8,3183.005,22167.699
209745,6275.981,2819.233,17394.334
14682,5758.2,3021.227,19974.099
12585,6428.619,3397.338,25254.734
6292,6458.781,3337.014,24365.412
8390,6032.4,3517.072,27066.739
10487,5575.4,3118.111,21277.92
23072,6032.4,3317.363,24080.701
10487,6702.819,3643.204,29045.092
2097,5606.019,3397.338,25254.734
241207,6306.6,3077.895,20729.52
50339,6489.4,3275.319,23471.52
140529,5758.2,3071.497,20644.061
60826,5971.619,3047.276,20319.134
27267,5423.219,2984.667,19490.593
25169,6154.419,3243.786,23024.574
23072,5392.6,3145.074,21643.52
10487,6063.019,3608.015,28484.353
18877,5941,3035.851,20168.781
23072,5666.8,3235.103,22898.899
115360,6580.8,3243.329,23020.461
144724,6032.4,3113.998,21217.139
4195,6001.781,3447.608,26010.612
2097,5514.619,3642.747,29032.753
2097,5057.619,3478.227,26473.553
10487,6001.781,3804.982,31677.412
20975,5270.581,3226.42,22780.993
2097,5666.8,3169.752,21984.899
8390,6611.419,3566.885,27838.612
2097,6154.419,3738.26,30580.612
27267,6458.781,3547.234,27533.793
16780,6275.981,3438.011,25864.372
25169,6154.419,3531.696,27290.212
27267,5818.981,3220.479,22695.534
48241,6245.819,3369.461,24840.692
23072,5118.4,2847.567,17743.939
4195,5301.2,3290.4,23690.88
6292,5118.4,3082.465,20790.301
18877,5880.219,3053.674,20404.593
88093,6611.419,3378.144,24974.593
8390,5453.381,3393.225,25193.953
232817,6794.219,3213.624,22598.193
75508,6489.4,3379.515,24994.701
127944,6306.6,2847.567,17743.939
18877,5910.381,3155.128,21781.534
415295,7189.981,2935.768,18856.734
4195,5453.381,3393.225,25193.953
